Path,True Label,Predicted Label
plant_diseases/Bacterial spot\aug_0_a91.jpg,Scale,Wilting
plant_diseases/Bacterial spot\aug_0_ca1.jpg,Late blight,Dry rot
plant_diseases/Bacterial spot\aug_1_14438.jpg,Marginal leaf necrosis,Burn
plant_diseases/Bacterial spot\aug_1_16691.jpg,Spider mite,Loss of foliage turgor
plant_diseases/Bacterial spot\aug_1_166911.jpg,Burn,Mosaic virus
plant_diseases/Bacterial spot\aug_1_1670.jpg,Powdery mildew,Grey mold
plant_diseases/Bacterial spot\aug_1_1671.jpg,Alternaria leaf blight,Powdery mildew
plant_diseases/Bacterial spot\aug_1_1679.jpg,Nutrient deficiency,Healthy
plant_diseases/Bacterial spot\aug_1_1682.jpg,Black spots,Black rot
plant_diseases/Bacterial spot\aug_1_1684.jpg,Leaf miners,Black chaff
plant_diseases/Bacterial spot\aug_1_1688.jpg,Spider mite,Loss of foliage turgor
plant_diseases/Bacterial spot\aug_1_1689.jpg,Powdery mildew,Whitefly
plant_diseases/Bacterial spot\aug_1_1690.jpg,Aphid effects,Bacterial spot
plant_diseases/Bacterial spot\aug_1_1696.jpg,Powdery mildew,Anthocyanosis
plant_diseases/Bacterial spot\aug_1_1700.jpg,Spider mite,Dry rot
plant_diseases/Bacterial spot\aug_1_1701.jpg,Healthy,Mealybug
plant_diseases/Bacterial spot\aug_1_1704.jpg,Leaf deformation,Ascochyta blight
plant_diseases/Bacterial spot\aug_1_ba1.jpg,Aphid,Mealybug
plant_diseases/Bacterial spot\aug_1_ca1.jpg,Dry rot,Mealybug
plant_diseases/Bacterial spot\diz_bacsp.jpg,Black spots,Anthracnose
plant_diseases/Bacterial spot\rbs27.jpg,Rust,Black chaff
plant_diseases/Bacterial spot\rbs271.jpg,Late blight,Grey mold
plant_diseases/Bacterial spot\s1.jpg,Spider mite,Thrips
plant_diseases/Black chaff\1.jpg,Loss of foliage turgor,Scale
plant_diseases/Black chaff\2.jpg,Edema,Whitefly
plant_diseases/Black chaff\449.jpg,Leaf deformation,Powdery mildew
plant_diseases/Black chaff\450.jpg,Shot hole,Black spots
plant_diseases/Black chaff\451.jpg,Late blight,Alternaria leaf blight
plant_diseases/Black chaff\453.jpg,Mealybug,Spider mite
plant_diseases/Black chaff\454.jpg,Whitefly,Mealybug
plant_diseases/Black chaff\457.jpg,Grey mold,Anthocyanosis
plant_diseases/Black chaff\458.jpg,Marginal leaf necrosis,Loss of foliage turgor
plant_diseases/Black chaff\459.jpg,Powdery mildew,Leaf deformation
plant_diseases/Black chaff\461.jpg,Sooty mold,Dry rot
plant_diseases/Black chaff\463.jpg,Burn,Black rot
plant_diseases/Black chaff\468.jpg,Spider mite,Mealybug
plant_diseases/Black chaff\472.jpg,Bacterial spot,Anthracnose
plant_diseases/Black chaff\473.jpg,Shot hole,Bacterial spot
plant_diseases/Black chaff\474.jpg,Mealybug,Spider mite
plant_diseases/Black chaff\475.jpg,Leaf deformation,Anthocyanosis
plant_diseases/Black chaff\476.jpg,Mealybug,Loss of foliage turgor
plant_diseases/Black chaff\6.jpg,Marginal leaf necrosis,Nutrient deficiency
plant_diseases/Black chaff\8.jpg,Aphid,Leaf deformation
plant_diseases/Black chaff\aug_0_1.jpg,Aphid effects,Mosaic virus
plant_diseases/Black chaff\aug_0_3.jpg,Black spots,Sooty mold
plant_diseases/Black chaff\aug_0_452.jpg,Bacterial spot,Rust
plant_diseases/Black chaff\aug_0_453.jpg,Scale,Anthracnose
plant_diseases/Black chaff\aug_0_454.jpg,Burn,Spider mite
plant_diseases/Black chaff\aug_0_455.jpg,Burn,Nutrient deficiency
plant_diseases/Black chaff\aug_0_458.jpg,Bacterial spot,Spider mite
plant_diseases/Black chaff\aug_0_459.jpg,Leaf miners,Burn
plant_diseases/Black chaff\aug_0_462.jpg,Edema,Healthy
plant_diseases/Black chaff\aug_0_463.jpg,Aphid,Anthracnose
plant_diseases/Black chaff\aug_0_465.jpg,Dry rot,Black rot
plant_diseases/Black chaff\aug_1_2.jpg,Powdery mildew,Shot hole
plant_diseases/Black chaff\aug_1_450.jpg,Scale,Sooty mold
plant_diseases/Black chaff\aug_1_451.jpg,Leaf deformation,Leaf miners
plant_diseases/Black chaff\aug_1_454.jpg,Leaf deformation,Anthocyanosis
plant_diseases/Black chaff\aug_1_457.jpg,Mealybug,Marginal leaf necrosis
plant_diseases/Black chaff\aug_1_458.jpg,Rust,Late blight
plant_diseases/Black chaff\aug_1_463.jpg,Black spots,Scale
plant_diseases/Black chaff\aug_1_465.jpg,Bacterial spot,Aphid
plant_diseases/Black chaff\aug_2_1.jpg,Powdery mildew,Sooty mold
plant_diseases/Black chaff\aug_2_2.jpg,Marginal leaf necrosis,Mealybug
plant_diseases/Black chaff\aug_2_3.jpg,Shot hole,Anthracnose
plant_diseases/Black chaff\aug_2_450.jpg,Edema,Aphid
plant_diseases/Black chaff\aug_2_452.jpg,Powdery mildew,Sooty mold
plant_diseases/Black chaff\aug_2_454.jpg,Rust,Aphid effects
plant_diseases/Black chaff\aug_2_459.jpg,Spider mite,Scale
plant_diseases/Black chaff\aug_2_462.jpg,Edema,Spider mite
plant_diseases/Black chaff\aug_3_453.jpg,Rust,Downy mildew
plant_diseases/Black chaff\aug_3_454.jpg,Whitefly,Healthy
plant_diseases/Black chaff\aug_3_455.jpg,Leaf deformation,Powdery mildew
plant_diseases/Black chaff\aug_3_457.jpg,Healthy,Nutrient deficiency
plant_diseases/Black chaff\aug_3_459.jpg,Thrips,Anthocyanosis
plant_diseases/Black chaff\aug_3_461.jpg,Mechanical damage,Marginal leaf necrosis
plant_diseases/Black chaff\aug_4_1.jpg,Sooty mold,Dry rot
plant_diseases/Black chaff\aug_4_3.jpg,Ascochyta blight,Aphid effects
plant_diseases/Black chaff\aug_4_449.jpg,Shot hole,Bacterial spot
plant_diseases/Black chaff\aug_4_451.jpg,Powdery mildew,Leaf deformation
plant_diseases/Black chaff\aug_4_452.jpg,Thrips,Rust
plant_diseases/Black chaff\aug_4_453.jpg,Dry rot,Whitefly
plant_diseases/Black chaff\aug_4_455.jpg,Thrips,Grey mold
plant_diseases/Black chaff\aug_4_458.jpg,Edema,Healthy
plant_diseases/Black chaff\aug_4_462.jpg,Black spots,Late blight
plant_diseases/Black chaff\aug_4_465.jpg,Leaf miners,Mosaic virus
plant_diseases/Black chaff\diz_blch.jpg,Powdery mildew,Dry rot
plant_diseases/Black rot\1.jpg,Powdery mildew,Burn
plant_diseases/Black rot\2.jpg,Spider mite,Loss of foliage turgor
plant_diseases/Black rot\25.jpg,Spider mite,Sooty mold
plant_diseases/Black rot\30.jpg,Whitefly,Mealybug
plant_diseases/Black rot\33.jpg,Scale,Anthracnose
plant_diseases/Black rot\36.jpg,Shot hole,Black spots
plant_diseases/Black rot\38.jpg,Marginal leaf necrosis,Mechanical damage
plant_diseases/Black rot\39.jpg,Rust,Late blight
plant_diseases/Black rot\4.jpg,Whitefly,Mealybug
plant_diseases/Black rot\43.jpg,Ascochyta blight,Anthracnose
plant_diseases/Black rot\44.jpg,Black chaff,Anthracnose
plant_diseases/Black rot\aug_0_111.jpg,Healthy,Mosaic virus
plant_diseases/Black rot\aug_0_1443.jpg,Aphid,Bacterial spot
plant_diseases/Black rot\aug_0_23.jpg,Mealybug,Grey mold
plant_diseases/Black rot\aug_0_25.jpg,Bacterial spot,Loss of foliage turgor
plant_diseases/Black rot\aug_0_3.jpg,Black rot,Grey mold
